Año,Marca,Enlace Anuncio Superbowl,Enlace Youtube,Divertido,Muestra Producto Rapido,Patriótico,Celebridad,Peligro,Animales,Usa Sexo,Duración,Costo Estimado,Vistas Youtube,Me Gusta Youtube,Espectadores TV,Vistas Youtube (millones),Me Gusta Youtube (miles)
2015,Doritos,https://superbowl-ads.com/2015-doritos-cheesy-pirates/,,True,False,False,False,True,False,True,30,4.25,0,0,114.44,0.0,0.0
2015,Pepsi,https://superbowl-ads.com/pepsi-2015-super-bowl-xlix-ad-halftime-touches-down/,https://www.youtube.com/watch?v=IUU_ygKs3jA,False,True,False,False,False,True,False,30,4.25,1030,3,114.44,0.0,0.0
2015,Budweiser,https://superbowl-ads.com/2015-budweiser-lost-dog/,https://www.youtube.com/watch?v=otCxSnu_HXA,False,True,True,False,True,True,False,60,8.5,502254,2400,114.44,0.5,2.4
2015,Coca-Cola,https://superbowl-ads.com/2015-coca-cola-make-it-happy/,https://www.youtube.com/watch?v=1AeG8tCzTGw,False,False,False,False,False,False,False,60,8.5,57345,412,114.44,0.06,0.41
2015,Toyota,https://superbowl-ads.com/toyota-camry-2015-super-bowl-xlix-ad-my-bold-dad/,https://www.youtube.com/watch?v=9u4--TxE2gI,False,True,True,False,False,False,False,60,8.5,35407,292,114.44,0.04,0.29
2016,Hyundai,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-chase/,https://www.youtube.com/watch?v=r_kXSO9Cph0,True,False,False,False,True,True,False,30,4.8,5350,42,111.86,0.01,0.04
2016,Pepsi,https://superbowl-ads.com/pepsi-2016-super-bowl-50-ad-joy-pepsi/,https://www.youtube.com/watch?v=B9j4Cw5dkBs,False,False,False,True,False,False,False,30,4.8,3310,19,111.86,0.0,0.02
2016,Hyundai,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-ryanville/,https://www.youtube.com/watch?v=wBcijELzZi4,True,True,False,True,False,True,True,45,7.2,12534,112,111.86,0.01,0.11
2016,Coca-Cola,https://superbowl-ads.com/coca-cola-mini-2016-super-bowl-50-ad-hulk-vs-ant-man/,https://www.youtube.com/watch?v=sMkGwCw7iv8,True,True,False,True,True,False,False,60,9.6,12683366,199000,111.86,12.68,199.0
2016,Hyundai,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-first-date/,https://www.youtube.com/watch?v=KwUUdl22mkA,True,False,False,True,False,False,False,60,9.6,215942,1900,111.86,0.22,1.9
